ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,68	09.51.17,44	LOG	TOTAL	1766	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.15,77	RESOURCE	NETWORK	54	45703	http://vmtestbaring:20200/Plm/main.70bb333a1d3188eb7bb9.css	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.15,77	RESOURCE	NETWORK	57	2165	http://vmtestbaring:20200/Plm/runtime.8ab276863c6d777a728a.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.15,78	RESOURCE	NETWORK	61	13276	http://vmtestbaring:20200/Plm/polyfills.be92da48cecbfd683935.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.15,80	RESOURCE	NETWORK	83	69138	http://vmtestbaring:20200/Plm/styles.6efe59d3cb99ec305e17.css	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.15,80	RESOURCE	NETWORK	85	98537	http://vmtestbaring:20200/Plm/main.ca302fe2556287347ffe.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.15,96	RESOURCE	NETWORK	245	1020663	http://vmtestbaring:20200/Plm/vendor.61b8baa329ceb34a34e8.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,72	09.51.16,41	RESOURCE	NETWORK	686	13201	http://vmtestbaring:20200/Plm/resources/icons/Aptos_favicon_128x128.png	
1	PLM-Connect	00 - Open the application homepage	0	09.51.15,83	09.51.15,84	RESOURCE	NETWORK	8	171758	http://vmtestbaring:20200/Plm/Roboto-Regular.03523cf578d69fa92322.ttf	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,29	09.51.16,29	RESOURCE	NETWORK	7	9721	http://vmtestbaring:20200/Plm/resources/localization/locale-it-IT.json	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,34	09.51.16,34	RESOURCE	NETWORK	7	6911	http://vmtestbaring:20200/Plm/resources/icons/logo-aptos-plm.svg	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,37	09.51.16,39	RESOURCE	NETWORK	15	16589	http://vmtestbaring:20200/Plm/1.d8f2c8eb56c3711dd5ab.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,38	09.51.16,38	RESOURCE	NETWORK	9	2848	http://vmtestbaring:20200/Plm/common.a390ac54d4d136a18bac.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,38	09.51.16,40	RESOURCE	NETWORK	24	97349	http://vmtestbaring:20200/Plm/13.2b320a972ab5a50bf5f4.js	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,38	09.51.16,39	RESOURCE	NETWORK	9	44771	http://vmtestbaring:20200/Plm/MaterialIcons-Regular.cff684e59ffb052d72cb.woff2	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,38	09.51.16,39	RESOURCE	NETWORK	8	174002	http://vmtestbaring:20200/Plm/Roboto-RegularItalic.2a1b89d7506c26fb931b.ttf	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,52	09.51.16,52	RESOURCE	NETWORK	8	868	http://vmtestbaring:20200/Plm/resources/app-config/app.config.json	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,52	09.51.16,53	RESOURCE	NETWORK	11	172142	http://vmtestbaring:20200/Plm/Roboto-Medium.13a29228654d5c5ec9c4.ttf	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,55	09.51.16,80	RESOURCE	NETWORK	251	6293	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,80	09.51.16,81	RESOURCE	NETWORK	11	9025	http://vmtestbaring:20200/Plm/resources/localization/locale-en-US.json	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,80	09.51.16,83	RESOURCE	NETWORK	22	387	http://vmtestbaring:20200/Plm/resources/localization/locale-en-US.json	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,84	09.51.16,91	RESOURCE	NETWORK	75	1576	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,84	09.51.16,85	RESOURCE	NETWORK	11	897	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,85	09.51.16,90	RESOURCE	NETWORK	55	1188	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,87	09.51.16,87	RESOURCE	NETWORK	7	170498	http://vmtestbaring:20200/Plm/Roboto-Light.0cea39826bd36bbfe330.ttf	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,87	09.51.16,88	RESOURCE	NETWORK	12	176670	http://vmtestbaring:20200/Plm/Roboto-LightItalic.f3afeb2d078386350b66.ttf	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,87	09.51.16,91	RESOURCE	NETWORK	43	1526	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM-Connect	00 - Open the application homepage	0	09.51.16,90	09.51.16,91	RESOURCE	NETWORK	10	1018	http://vmtestbaring:20200/server/PLM/UserPref/Avatar/309	
